Date,Police Officer Strength,Police Staff Strength,PCSO Strength
May-13,30636,12702,2497
Jun-13,30550,12166,2487
Jul-13,30463,12149,2467
Aug-13,30360,12114,2450
Sep-13,30413,12113,2324
Oct-13,30260,12129,2312
Nov-13,30249,12076,2238
Dec-13,30085,12026,2224
Jan-14,30037,11985,2210
Feb-14,30236,11886,2128
Mar-14,30712,11897,2048
Apr-14,30824,11856,2020
May-14,30946,11813,1997
Jun-14,31007,11803,1961
Jul-14,31133,11778,1940
Aug-14,31179,11679,1920
Sep-14,31287,11613,1905
Oct-14,31340,11562,1886
Nov-14,31434,11494,1870
Dec-14,31300,11419,1862
Jan-15,31672,11374,1834
Feb-15,31818,11348,1801
Mar-15,31944,11316,1787
Apr-15,31759,11199,1771
May-15,31727,11116,1757
Jun-15,31733,11068,1734
Jul-15,31756,10985,1724
Aug-15,31787,10902,1707
Sep-15,31780,10823,1689
Oct-15,31750,10412,1670
Nov-15,31716,10342,1667
Dec-15,31612,10283,1663
Jan-16,31678,10157,1639
Feb-16,31688,10096,1610
Mar-16,31720,9985,1591
Apr-16,31674,9502,1577
May-16,31601,9411,1566
Jun-16,31555,9329,1556
Jul-16,31519,9096,1543
Aug-16,31453,9038,1534
Sep-16,31343,9028,1522
Oct-16,31177,8947,1493
Nov-16,31205,8869,1480
Dec-16,31076,8732,1465
Jan-17,31019,8743,1444
Feb-17,31011,8743,1435
Mar-17,31049,8759,1412
Apr-17,30914,8690,1403
May-17,30822,8508,1388
Jun-17,30719,8500,1384
Jul-17,30647,8487,1375
Aug-17,30513,8470,1363
Sep-17,30380,8464,1353
Oct-17,30285,8461,1341
Nov-17,30171,8454,1327
Dec-17,30046,8455,1316
Jan-18,30056,8445,1304
Feb-18,30013,8445,1294
Mar-18,29924,8481,1286
Apr-18,29874,8553,1276
May-18,29814,8548,1268
Jun-18,29752,8565,1257
